Date,Vendor,Product,Brand,Price,Grams,Price Per 100g
2/29/2024,Voila,Longo's Sourdough Boule 540 g,Longo's,4.49,540,0.831481481
3/5/2024,Voila,Longo's Sourdough Boule 540 g,Longo's,4.49,540,0.831481481
3/6/2024,Voila,Longo's Sourdough Boule 540 g,Longo's,4.49,540,0.831481481
3/7/2024,Voila,Longo's Sourdough Boule 540 g,Longo's,4.49,540,0.831481481
3/8/2024,Voila,Longo's Sourdough Boule 540 g,Longo's,4.49,540,0.831481481
3/9/2024,Voila,Longo's Sourdough Boule 540 g,Longo's,4.49,540,0.831481481
3/10/2024,Voila,Longo's Sourdough Boule 540 g,Longo's,4.49,540,0.831481481
3/11/2024,Voila,Longo's Sourdough Boule 540 g,Longo's,4.49,540,0.831481481
3/12/2024,Voila,Longo's Sourdough Boule 540 g,Longo's,4.49,540,0.831481481
3/13/2024,Voila,Longo's Sourdough Boule 540 g,Longo's,4.49,540,0.831481481
3/14/2024,Voila,Longo's Sourdough Boule 540 g,Longo's,4.49,540,0.831481481
3/15/2024,Voila,Longo's Sourdough Boule 540 g,Longo's,4.49,540,0.831481481
3/16/2024,Voila,Longo's Sourdough Boule 540 g,Longo's,4.49,540,0.831481481
3/17/2024,Voila,Longo's Sourdough Boule 540 g,Longo's,4.49,540,0.831481481
3/18/2024,Voila,Longo's Sourdough Boule 540 g,Longo's,4.49,540,0.831481481
3/19/2024,Voila,Longo's Sourdough Boule 540 g,Longo's,4.49,540,0.831481481
3/20/2024,Voila,Longo's Sourdough Boule 540 g,Longo's,4.49,540,0.831481481
4/26/2024,Voila,Longo's Sourdough Boule 540 g,,4.99,540,0.924074074
4/27/2024,Voila,Longo's Sourdough Boule 540 g,,4.99,540,0.924074074
4/28/2024,Voila,Longo's Sourdough Boule 540 g,,4.99,540,0.924074074
4/29/2024,Voila,Longo's Sourdough Boule 540 g,,4.99,540,0.924074074
4/30/2024,Voila,Longo's Sourdough Boule 540 g,,4.99,540,0.924074074
5/1/2024,Voila,Longo's Sourdough Boule 540 g,,4.99,540,0.924074074
5/2/2024,Voila,Longo's Sourdough Boule 540 g,,4.99,540,0.924074074
5/3/2024,Voila,Longo's Sourdough Boule 540 g,,4.99,540,0.924074074
5/4/2024,Voila,Longo's Sourdough Boule 540 g,,4.99,540,0.924074074
5/5/2024,Voila,Longo's Sourdough Boule 540 g,,4.99,540,0.924074074
5/6/2024,Voila,Longo's Sourdough Boule 540 g,,4.99,540,0.924074074
5/7/2024,Voila,Longo's Sourdough Boule 540 g,,4.99,540,0.924074074
5/8/2024,Voila,Longo's Sourdough Boule 540 g,,4.99,540,0.924074074
5/9/2024,Voila,Longo's Sourdough Boule 540 g,,4.99,540,0.924074074
5/11/2024,Voila,Longo's Sourdough Boule 540 g,,4.99,540,0.924074074
5/12/2024,Voila,Longo's Sourdough Boule 540 g,,4.99,540,0.924074074
5/13/2024,Voila,Longo's Sourdough Boule 540 g,,4.99,540,0.924074074
5/17/2024,Voila,Longo's Sourdough Boule 540 g,,4.99,540,0.924074074
5/18/2024,Voila,Longo's Sourdough Boule 540 g,,4.99,540,0.924074074
5/19/2024,Voila,Longo's Sourdough Boule 540 g,,4.99,540,0.924074074
5/20/2024,Voila,Longo's Sourdough Boule 540 g,,4.99,540,0.924074074
5/21/2024,Voila,Longo's Sourdough Boule 540 g,,4.99,540,0.924074074
5/21/2024,Voila,Longo's Sourdough Boule 540 g,,4.99,540,0.924074074
5/22/2024,Voila,Longo's Sourdough Boule 540 g,,4.99,540,0.924074074
5/23/2024,Voila,Longo's Sourdough Boule 540 g,,4.99,540,0.924074074
5/24/2024,Voila,Longo's Sourdough Boule 540 g,,4.99,540,0.924074074
5/25/2024,Voila,Longo's Sourdough Boule 540 g,,4.99,540,0.924074074
5/26/2024,Voila,Longo's Sourdough Boule 540 g,,4.99,540,0.924074074
5/27/2024,Voila,Longo's Sourdough Boule 540 g,,4.99,540,0.924074074
5/28/2024,Voila,Longo's Sourdough Boule 540 g,,4.99,540,0.924074074
5/29/2024,Voila,Longo's Sourdough Boule 540 g,,4.99,540,0.924074074
5/30/2024,Voila,Longo's Sourdough Boule 540 g,,4.99,540,0.924074074
5/31/2024,Voila,Longo's Sourdough Boule 540 g,,4.99,540,0.924074074
6/1/2024,Voila,Longo's Sourdough Boule 540 g,,4.99,540,0.924074074
6/2/2024,Voila,Longo's Sourdough Boule 540 g,,4.99,540,0.924074074
6/3/2024,Voila,Longo's Sourdough Boule 540 g,,4.99,540,0.924074074
6/4/2024,Voila,Longo's Sourdough Boule 540 g,,4.99,540,0.924074074
6/5/2024,Voila,Longo's Sourdough Boule 540 g,,4.99,540,0.924074074
6/6/2024,Voila,Longo's Sourdough Boule 540 g,,4.99,540,0.924074074
6/7/2024,Voila,Longo's Sourdough Boule 540 g,,4.99,540,0.924074074
6/8/2024,Voila,Longo's Sourdough Boule 540 g,,4.99,540,0.924074074
6/9/2024,Voila,Longo's Sourdough Boule 540 g,,4.99,540,0.924074074
6/10/2024,Voila,Longo's Sourdough Boule 540 g,,4.99,540,0.924074074
2/28/2024,Loblaws,"Sourdough Loaf, Sliced",error,3,450,0.666666667
2/28/2024,Loblaws,Sourdough Loaf,Country Harvest,4.49,650,0.690769231
2/29/2024,Loblaws,"Sourdough Loaf, Sliced",,3.29,450,0.731111111
2/29/2024,Loblaws,Sourdough Loaf,Country Harvest,4.49,650,0.690769231
3/1/2024,Loblaws,"Sourdough Loaf, Sliced",,3.29,450,0.731111111
3/1/2024,Loblaws,Sourdough Bread Boule,,4.79,675,0.70962963
