Date,Vendor,Product,Brand,Price,Grams,Price Per 100g
2024-02-29,Voila,Longo's Sourdough Boule 540 g,Longo's,4.49,540,0.831481481
2024-03-05,Voila,Longo's Sourdough Boule 540 g,Longo's,4.49,540,0.831481481
2024-03-06,Voila,Longo's Sourdough Boule 540 g,Longo's,4.49,540,0.831481481
2024-03-07,Voila,Longo's Sourdough Boule 540 g,Longo's,4.49,540,0.831481481
2024-03-08,Voila,Longo's Sourdough Boule 540 g,Longo's,4.49,540,0.831481481
2024-03-09,Voila,Longo's Sourdough Boule 540 g,Longo's,4.49,540,0.831481481
2024-03-10,Voila,Longo's Sourdough Boule 540 g,Longo's,4.49,540,0.831481481
2024-03-11,Voila,Longo's Sourdough Boule 540 g,Longo's,4.49,540,0.831481481
2024-03-12,Voila,Longo's Sourdough Boule 540 g,Longo's,4.49,540,0.831481481
2024-03-13,Voila,Longo's Sourdough Boule 540 g,Longo's,4.49,540,0.831481481
2024-03-14,Voila,Longo's Sourdough Boule 540 g,Longo's,4.49,540,0.831481481
2024-03-15,Voila,Longo's Sourdough Boule 540 g,Longo's,4.49,540,0.831481481
2024-03-16,Voila,Longo's Sourdough Boule 540 g,Longo's,4.49,540,0.831481481
2024-03-17,Voila,Longo's Sourdough Boule 540 g,Longo's,4.49,540,0.831481481
2024-03-18,Voila,Longo's Sourdough Boule 540 g,Longo's,4.49,540,0.831481481
2024-03-19,Voila,Longo's Sourdough Boule 540 g,Longo's,4.49,540,0.831481481
2024-03-20,Voila,Longo's Sourdough Boule 540 g,Longo's,4.49,540,0.831481481
2024-02-28,Loblaws,"Sourdough Loaf, Sliced",error,3,450,0.666666667
2024-02-28,Loblaws,Sourdough Loaf,Country Harvest,4.49,650,0.690769231
2024-02-29,Loblaws,Sourdough Loaf,Country Harvest,4.49,650,0.690769231
2024-03-01,Loblaws,Sourdough Loaf,Country Harvest,4.49,650,0.690769231
2024-03-02,Loblaws,Sourdough Loaf,Country Harvest,4.49,650,0.690769231
2024-03-03,Loblaws,Sourdough Loaf,Country Harvest,4.49,650,0.690769231
2024-03-05,Loblaws,Sourdough Loaf,Country Harvest,NA,650,0
2024-03-06,Loblaws,Sourdough Loaf,Country Harvest,NA,650,0
2024-03-07,Loblaws,Sourdough Loaf,Country Harvest,NA,650,0
2024-03-08,Loblaws,Sourdough Loaf,Country Harvest,NA,650,0
2024-03-09,Loblaws,Sourdough Loaf,Country Harvest,NA,650,0
2024-03-10,Loblaws,Sourdough Loaf,Country Harvest,NA,650,0
2024-03-11,Loblaws,Sourdough Loaf,Country Harvest,NA,650,0
2024-03-12,Loblaws,Sourdough Loaf,Country Harvest,NA,650,0
2024-03-18,Loblaws,Sourdough Loaf,Country Harvest,NA,650,0
2024-03-19,Loblaws,Sourdough Loaf,Country Harvest,NA,650,0
2024-03-20,Loblaws,Sourdough Loaf,Country Harvest,NA,650,0
2024-03-21,Loblaws,Sourdough Loaf,Country Harvest,NA,650,0
2024-03-22,Loblaws,Sourdough Loaf,Country Harvest,NA,650,0
2024-03-23,Loblaws,Sourdough Loaf,Country Harvest,NA,650,0
2024-03-24,Loblaws,Sourdough Loaf,Country Harvest,NA,650,0
2024-03-25,Loblaws,Sourdough Loaf,Country Harvest,NA,650,0
2024-03-26,Loblaws,Sourdough Loaf,Country Harvest,4,650,0.615692308
2024-03-26,Loblaws,Sourdough Loaf,Country Harvest,4,650,0.615692308
2024-03-26,Loblaws,Deli Sourdough Bread,Schar,8.99,240,3.745833333
2024-03-26,Loblaws,Sliced Sourdough Miche,ACE,6.99,700,0.998571429
2024-03-26,Loblaws,San Francisco Style Sourdough Bread,Stonemill,4.69,550,0.852727273
2024-03-27,Loblaws,Sourdough Loaf,Country Harvest,4,650,0.615692308
2024-03-28,Loblaws,Sourdough Loaf,Country Harvest,4,650,0.615692308
2024-03-29,Loblaws,Sourdough Loaf,Country Harvest,4,650,0.615692308
2024-03-29,Loblaws,Sliced Sourdough Miche,ACE,6.99,700,0.998571429
2024-03-29,Loblaws,Deli Sourdough Bread,Schar,8.99,240,3.745833333
2024-03-29,Loblaws,San Francisco Style Sourdough Bread,Stonemill,4.69,550,0.852727273
2024-04-03,Loblaws,Sourdough Loaf,Country Harvest,4,650,0.615692308
2024-04-03,Loblaws,Sourdough Loaf,Country Harvest,4,650,0.615692308
2024-04-03,Loblaws,Deli Sourdough Bread,Schar,8.99,240,3.745833333
2024-04-03,Loblaws,Sliced Sourdough Miche,ACE,6.99,700,0.998571429
2024-04-03,Loblaws,San Francisco Style Sourdough Bread,Stonemill,4.69,550,0.852727273
2024-04-14,Loblaws,Sourdough Loaf,Country Harvest,4,650,0.615692308
2024-04-14,Loblaws,Deli Sourdough Bread,Schar,8.99,240,3.745833333
2024-04-14,Loblaws,Sliced Sourdough Miche,ACE,6.99,700,0.998571429
2024-04-20,Loblaws,Sourdough Loaf,Country Harvest,4,650,0.615692308
2024-04-20,Loblaws,Deli Sourdough Bread,Schar,8.99,240,3.745833333
2024-04-20,Loblaws,Sliced Sourdough Miche,ACE,6.99,700,0.998571429
2024-04-20,Loblaws,San Francisco Style Sourdough Bread,Stonemill,4.69,550,0.852727273
2024-04-22,Loblaws,Sourdough Loaf,Country Harvest,4,650,0.615692308
2024-04-22,Loblaws,Deli Sourdough Bread,Schar,8.99,240,3.745833333
2024-04-22,Loblaws,Sliced Sourdough Miche,ACE,6.99,700,0.998571429
2024-04-22,Loblaws,San Francisco Style Sourdough Bread,Stonemill,4.69,550,0.852727273
2024-04-23,Loblaws,Sourdough Loaf,Country Harvest,4,650,0.615692308
